time,S1,S2
0,1.,0.
0.04,0.9600000000000002,0.04000000000000001
0.08,0.9200000000000002,0.08
0.12,0.8800000000000002,0.12
0.16,0.8400000000000002,0.15999999999999998
0.2,0.8000000000001549,0.19999999999984508
0.24,0.7680000000001489,0.2319999999998516
0.28,0.7360000000001488,0.2639999999998517
0.32,0.7040000000001487,0.2959999999998516
0.36,0.6720000000001487,0.32799999999985163
0.4,0.6400000000001487,0.35999999999985166
0.44,0.6080000000001482,0.3919999999998516
0.48,0.582000000000137,0.41799999999986304
0.52,0.5580000000001369,0.44199999999986306
0.56,0.5340000000001369,0.4659999999998631
0.6,0.5100000000001369,0.48999999999986305
0.64,0.4860000000001369,0.5139999999998631
0.68,0.46200000000013686,0.5379999999998631
0.72,0.4380000000001369,0.5619999999998628
0.76,0.41400000000013687,0.5859999999998629
0.8,0.3933333333335242,0.6066666666664754
0.84,0.3773333333335242,0.6226666666664753
0.88,0.3613333333335242,0.6386666666664752
0.92,0.3453333333335242,0.6546666666664752
0.96,0.3293333333335242,0.6706666666664752
1.,0.3133333333335242,0.6866666666664751
1.04,0.2973333333335242,0.7026666666664751
1.08,0.28133333333352417,0.7186666666664752
1.12,0.26533333333352416,0.7346666666664752
1.16,0.2493333333335242,0.7506666666664751
1.2,0.2333333333335242,0.7666666666664751
1.24,0.2173333333335242,0.7826666666664751
1.28,0.2013333333335242,0.798666666666475
1.32,0.19266666666680637,0.8073333333331927
1.36,0.18466666666680637,0.8153333333331927
1.4000000000000001,0.17666666666680636,0.8233333333331927
1.44,0.16866666666680638,0.8313333333331926
1.48,0.16066666666680635,0.8393333333331926
1.52,0.15266666666680634,0.8473333333331927
1.56,0.14466666666680633,0.8553333333331927
1.6,0.13666666666680632,0.8633333333331927
1.6400000000000001,0.12866666666680632,0.8713333333331927
1.68,0.12066666666680637,0.8793333333331926
1.72,0.11266666666680636,0.8873333333331926
1.76,0.10466666666680635,0.8953333333331926
1.8,0.09666666666680634,0.9033333333331927
1.84,0.08866666666680634,0.9113333333331927
1.8800000000000001,0.08066666666680633,0.9193333333331927
1.92,0.07266666666680636,0.9273333333331926
1.96,0.06466666666680636,0.9353333333331926
2.,0.05666666666680635,0.9433333333331926
