time,S1,S2
0,1.,8.017669293480873E-41
0.01,0.9731800729322829,0.026819927067717072
0.02,0.9470607062543612,0.05293929374563876
0.03,0.9216062312031952,0.07839376879680489
0.04,0.8967836355617919,0.10321636443820821
0.05,0.8725623060310678,0.12743769396893248
0.06,0.8489138025171362,0.15108619748286398
0.07,0.8258116549524092,0.17418834504759112
0.08,0.8032311871773186,0.19676881282268183
0.09,0.7811493581461793,0.2188506418538211
0.1,0.759544620516626,0.24045537948337434
0.11,0.738396792537491,0.2616032074625092
0.12,0.7176869497896943,0.28231305021030595
0.13,0.6973973172597492,0.302602682740251
0.14,0.6775111794739961,0.32248882052600397
0.15,0.6580128022759428,0.3419871977240572
0.16,0.6388873524566152,0.3611126475433849
0.17,0.6201208299099417,0.3798791700900584
0.18,0.6017000135805407,0.3982999864194593
0.19,0.5836123950507087,0.4163876049492913
0.2,0.5658461342483478,0.43415386575165216
0.21,0.5483900112288619,0.45160998877113817
0.22,0.5312333837249379,0.4687666162750621
0.23,0.5143661480340571,0.4856338519659429
0.24,0.497778703236924,0.5022212967630759
0.25,0.48146191838676344,0.5185380816132364
0.26,0.4654071023313535,0.5345928976686465
0.27,0.44960597591841844,0.5503940240815816
0.28,0.43405064531780657,0.5659493546821934
0.29,0.41873358403006034,0.5812664159699397
0.3,0.403647598738378,0.596352401261622
0.31,0.38878582055175603,0.6112141794482441
0.32,0.3741416853156695,0.6258583146843307
0.33,0.3597089107263453,0.6402910892736549
0.34,0.3454814805991905,0.6545185194008097
0.35000000000000003,0.3314536322481734,0.6685463677518267
0.36,0.3176198456811605,0.6823801543188397
0.37,0.3039748256170467,0.6960251743829534
0.38,0.2905134888649644,0.7094865111350356
0.39,0.27723095405080167,0.7227690459491983
0.4,0.26412253455935275,0.7358774654406472
0.41000000000000003,0.25118372527648103,0.748816274723519
0.42,0.23841019424672122,0.7615898057532787
0.43,0.2257977675832358,0.7742022324167642
0.44,0.21334243672216963,0.7866575632778303
0.45,0.20104033567079851,0.7989596643292014
0.46,0.18888773633926537,0.8111122636607345
0.47000000000000003,0.17688105257525355,0.8231189474247464
0.48,0.1650168217267646,0.8349831782732354
0.49,0.15329170082232757,0.8467082991776725
0.5,0.14170246662839148,0.8582975333716085
