time,case00353`S1,case00353`S2,case00353`S3,case00353`S4
0,1.e-15,1.2e-15,2.e-15,1.e-15
0.02,9.921887611287314e-16,1.192188761128731e-15,2.007811238871268e-15,1.007811238871268e-15
0.04,9.847424513283055e-16,1.184742451328305e-15,2.015257548671694e-15,1.015257548671694e-15
0.06,9.776429638095366e-16,1.177642963809536e-15,2.022357036190463e-15,1.022357036190463e-15
0.08,9.708731836216158e-16,1.170873183621615e-15,2.029126816378384e-15,1.029126816378384e-15
0.1,9.644169242281102e-16,1.16441692422811e-15,2.035583075771889e-15,1.035583075771889e-15
0.12,9.582588704894605e-16,1.15825887048946e-15,2.041741129510539e-15,1.041741129510539e-15
0.14,9.523845249413709e-16,1.15238452494137e-15,2.047615475058629e-15,1.047615475058629e-15
0.16,9.467801580815582e-16,1.146780158081558e-15,2.053219841918441e-15,1.053219841918441e-15
0.18,9.414327623955004e-16,1.1414327623955e-15,2.058567237604499e-15,1.058567237604499e-15
0.2,9.363300101475853e-16,1.136330010147585e-15,2.063669989852414e-15,1.063669989852414e-15
0.22,9.314602105256877e-16,1.131460210525687e-15,2.068539789474312e-15,1.068539789474312e-15
0.24,9.268122763574045e-16,1.126812276357404e-15,2.073187723642595e-15,1.073187723642595e-15
0.26,9.223756844641549e-16,1.122375684464154e-15,2.077624315535845e-15,1.077624315535845e-15
0.28,9.181404550348052e-16,1.118140455034805e-15,2.081859544965194e-15,1.081859544965194e-15
0.3,9.140971040921194e-16,1.114097104092119e-15,2.08590289590788e-15,1.08590289590788e-15
0.32,9.102366239943194e-16,1.110236623994319e-15,2.08976337600568e-15,1.08976337600568e-15
0.34,9.065504585171034e-16,1.106550458517103e-15,2.093449541482897e-15,1.093449541482896e-15
0.36,9.030304794529838e-16,1.103030479452983e-15,2.096969520547016e-15,1.096969520547016e-15
0.38,1.997218270380678e-15,1.097218255034661e-15,2.10278174496534e-15,5.027817296193206e-16
0.4,1.970435182162829e-15,1.070435166816813e-15,2.129564833183188e-15,5.295648178371689e-16
0.42,1.945184407335355e-15,1.045184391989338e-15,2.154815608010663e-15,5.548155926646438e-16
0.44,1.921366245812393e-15,1.021366230466376e-15,2.178633769533625e-15,5.786337541876059e-16
0.46,1.898888705493121e-15,9.988886901471055e-16,2.201111309852896e-15,6.011112945068772e-16
0.48,1.877666785012734e-15,9.776667696667176e-16,2.222333230333284e-15,6.223332149872651e-16
0.5,1.857621833092884e-15,9.576218177468681e-16,2.242378182253133e-15,6.423781669071147e-16
0.52,1.838680976471442e-15,9.386809611254257e-16,2.261319038874575e-15,6.613190235285569e-16
0.54,1.820776617679868e-15,9.207766023338504e-16,2.27922339766615e-15,6.79223382320132e-16
0.56,1.80384597088791e-15,9.038459555418936e-16,2.296154044458107e-15,6.961540291120889e-16
0.58,1.787830656728567e-15,8.878306413825505e-16,2.312169358617451e-15,7.12169343271432e-16
0.6,1.772676331459206e-15,8.7267631611319e-16,2.327323683886811e-15,7.273236685407925e-16
0.62,1.758332361343884e-15,8.583323459978671e-16,2.341667654002134e-15,7.416676386561155e-16
0.64,1.744751509921586e-15,8.447514945755697e-16,2.355248505424431e-15,7.552484900784128e-16
0.66,1.731889692420209e-15,8.318896770741926e-16,2.368110322925809e-15,7.681103075797899e-16
0.68,1.719705701006942e-15,8.197056856609263e-16,2.380294314339075e-15,7.802942989930562e-16
0.7,1.708160998487565e-15,8.081609831415492e-16,2.391839016858452e-15,7.918390015124333e-16
0.72,1.995367657709685e-15,7.95367633307839e-16,2.404632366692163e-15,5.046323422903134e-16
0.74,1.97811919470427e-15,7.781191703024233e-16,2.421880829697578e-15,5.218808052957291e-16
0.76,1.961811166403963e-15,7.618111420021158e-16,2.438188857997886e-15,5.381888335960366e-16
0.78,1.946387264920891e-15,7.463872405190448e-16,2.453612759480957e-15,5.536127350791076e-16
0.8,1.931795054758443e-15,7.317950303565961e-16,2.468204969643406e-15,5.682049452415562e-16
0.82,1.917985657495446e-15,7.179856330935998e-16,2.482014366906402e-15,5.820143425045525e-16
0.84,1.904913466464699e-15,7.049134420628528e-16,2.495086557937149e-15,5.950865335352995e-16
0.86,1.892535888987699e-15,6.925358645858528e-16,2.507464135414149e-15,6.074641110122996e-16
0.88,1.880813111427531e-15,6.808130870256844e-16,2.519186912974317e-15,6.19186888572468e-16
0.9,1.869707889233254e-15,6.697078648314076e-16,2.530292135168594e-15,6.302921107667447e-16
0.92,1.859185353862085e-15,6.591853294602383e-16,2.540814670539763e-15,6.408146461379141e-16
0.94,1.998940398181028e-15,6.489403856194584e-16,2.551059614380542e-15,5.010596018189728e-16
0.96,1.986225830110311e-15,6.362258175487422e-16,2.563774182451259e-15,5.137741698896889e-16
0.98,1.974188391722246e-15,6.241883791606769e-16,2.575811620839324e-15,5.258116082777543e-16
1.,1.962789276342135e-15,6.127892637805661e-16,2.587210736219435e-15,5.37210723657865e-16
