time,case00128`S1,case00128`S2,case00128`S3,case00128`S4
0,1.e-15,1.e-15,2.e-15,1.e-15
1.,9.955844033992697e-16,9.955844033992697e-16,2.004415596600732e-15,1.710120614894613e-15
2.,1.136861084085915e-15,1.136861084085915e-15,1.863138915914087e-15,2.417365623083392e-15
3.,1.299216234904927e-15,1.299216234904927e-15,1.700783765095075e-15,3.367968600403793e-15
4.,1.466018845883135e-15,1.466018845883135e-15,1.533981154116866e-15,4.636610597882686e-15
5.,1.629186118419265e-15,1.629186118419265e-15,1.370813881580736e-15,6.272810339448734e-15
6.,1.782245019251954e-15,1.782245019251954e-15,1.217754980748047e-15,8.306023636433278e-15
7.,1.920938667745956e-15,1.920938667745956e-15,1.079061332254046e-15,1.07434635494607e-14
8.,2.043409966053456e-15,2.043409966053456e-15,9.565900339465466e-16,1.357277667224641e-14
9.,2.149700462726137e-15,2.149700462726137e-15,8.502995372738643e-16,1.676797242576159e-14
10.,2.241019512324986e-15,2.241019512324986e-15,7.589804876750162e-16,2.02957625371714e-14
11.,2.319115336775554e-15,2.319115336775554e-15,6.808846632244491e-16,2.412058008242595e-14
12.,2.385857620515331e-15,2.385857620515331e-15,6.141423794846713e-16,2.820783098950049e-14
13.,2.443009684423037e-15,2.443009684423037e-15,5.569903155769668e-16,3.252564740247221e-14
14.,2.492129255587053e-15,2.492129255587053e-15,5.078707444129498e-16,3.704561311267444e-14
15.,2.53454302914411e-15,2.53454302914411e-15,4.654569708558932e-16,4.174287670137128e-14
16.,2.571357914532782e-15,2.571357914532782e-15,4.286420854672213e-16,4.659594422346118e-14
17.,2.603487329910213e-15,2.603487329910213e-15,3.965126700897894e-16,5.15863315836622e-14
18.,2.631681236514525e-15,2.631681236514525e-15,3.683187634854779e-16,5.669817779163553e-14
19.,2.656554636041075e-15,2.656554636041075e-15,3.434453639589279e-16,6.191787088113916e-14
20.,2.678612480551448e-15,2.678612480551448e-15,3.213875194485551e-16,6.723370963701444e-14
21.,2.698270533244033e-15,2.698270533244033e-15,3.017294667559704e-16,7.263560879654925e-14
22.,2.715872429156716e-15,2.715872429156716e-15,2.841275708432858e-16,7.811484753759406e-14
23.,2.731703446434867e-15,2.731703446434867e-15,2.682965535651361e-16,8.366385751555882e-14
24.,2.746001547812535e-15,2.746001547812535e-15,2.539984521874675e-16,8.927604543314903e-14
25.,2.758966209280126e-15,2.758966209280126e-15,2.410337907198773e-16,9.494564499504919e-14
26.,2.770765478551604e-15,2.770765478551604e-15,2.292345214483987e-16,1.006675934897204e-13
27.,2.781541627256247e-15,2.781541627256247e-15,2.184583727437569e-16,1.06437428831296e-13
28.,2.791415689444881e-15,2.791415689444881e-15,2.085843105551224e-16,1.122512035187418e-13
29.,2.800491118442818e-15,2.800491118442818e-15,1.995088815571843e-16,1.181054125585002e-13
30.,2.808856745124065e-15,2.808856745124065e-15,1.91143254875938e-16,1.239969329039953e-13
31.,2.816589181148483e-15,2.816589181148483e-15,1.834108188515196e-16,1.299229724104958e-13
32.,2.823754780028582e-15,2.823754780028582e-15,1.762452199714192e-16,1.358810266603806e-13
33.,2.830411244545113e-15,2.830411244545113e-15,1.695887554548894e-16,1.418688423178368e-13
34.,2.836608950244634e-15,2.836608950244634e-15,1.633910497553705e-16,1.478843859143189e-13
35.,2.842392040040822e-15,2.842392040040822e-15,1.576079599591838e-16,1.539258171653377e-13
36.,2.84779933349286e-15,2.84779933349286e-15,1.522006665071466e-16,1.599914660804075e-13
37.,2.852865085393286e-15,2.852865085393286e-15,1.471349146067183e-16,1.660798132589021e-13
38.,2.857619621297897e-15,2.857619621297897e-15,1.423803787021074e-16,1.721894728707963e-13
39.,2.862089872137834e-15,2.862089872137834e-15,1.379101278621702e-16,1.783191779079788e-13
40.,2.866299825711362e-15,2.866299825711362e-15,1.337001742886426e-16,1.844677673621362e-13
41.,2.870270909464219e-15,2.870270909464219e-15,1.297290905357858e-16,1.906341750421669e-13
42.,2.874022316191994e-15,2.874022316191994e-15,1.259776838080109e-16,1.968174197929126e-13
43.,2.877571282187018e-15,2.877571282187018e-15,1.22428717812988e-16,2.030165969139009e-13
44.,2.880933325586746e-15,2.880933325586746e-15,1.190666744132599e-16,2.092308706099183e-13
45.,2.884122451317589e-15,2.884122451317589e-15,1.158775486824177e-16,2.154594673304639e-13
46.,2.887151327858062e-15,2.887151327858062e-15,1.128486721419442e-16,2.217016698789652e-13
47.,2.890031440191501e-15,2.890031440191501e-15,1.099685598085055e-16,2.279568121886201e-13
48.,2.892773222541487e-15,2.892773222541487e-15,1.072267774585198e-16,2.342242746784654e-13
49.,2.895386173905508e-15,2.895386173905508e-15,1.04613826094499e-16,2.40503480115014e-13
50.,2.897878958886376e-15,2.897878958886376e-15,1.021210411136304e-16,2.467938899163838e-13
