time,S1,S2
0,1.5e-015,0
0.08,1.49521e-015,0
0.16,1.48092e-015,0
0.24,1.45742e-015,0
0.32,1.42513e-015,0
0.4,1.38467e-015,0
0.48,1.33678e-015,0
0.56,1.28231e-015,0
0.64,1.22222e-015,0
0.72,1.1575e-015,0
0.8,1.08922e-015,0
0.88,1.01843e-015,0
0.96,9.46168e-016,0
1.04,8.73423e-016,0
1.12,8.01128e-016,0
1.2,7.30128e-016,0
1.28,6.61176e-016,0
1.36,5.94916e-016,0
1.44,5.31881e-016,0
1.52,4.72492e-016,0
1.6,4.17056e-016,0
1.68,3.65776e-016,0
1.76,3.18754e-016,0
1.84,2.76005e-016,0
1.92,2.37465e-016,0
2,2.03003e-016,0
2.08,1.72435e-016,0
2.16,1.45536e-016,0
2.24,1.22049e-016,0
2.32,1.01699e-016,0
2.4,8.42021e-017,0
2.48,6.92706e-017,0
2.56,5.66233e-017,0
2.64,4.59898e-017,0
2.72,3.7115e-017,0
2.8,2.97616e-017,0
2.88,2.37129e-017,0
2.96,1.8773e-017,0
3.04,1.47674e-017,0
3.12,1.15423e-017,0
3.2,8.96403e-018,0
3.28,6.91726e-018,0
3.36,5.30378e-018,0
3.44,4.04071e-018,0
3.52,3.05879e-018,0
3.6,2.30072e-018,0
3.68,1.71948e-018,0
3.76,1.27688e-018,0
3.84,9.42161e-019,0
3.92,6.90748e-019,0
4,5.03194e-019,0
