time,case00897`S1,case00897`S2,case00897`S3,case00897`S4
0,1.e-15,0,0,0
0.16,9.910800210935066e-16,8.891453341760276e-18,2.840409268875278e-20,1.214720446308002e-22
0.32,9.647946481926784e-16,3.475588677085494e-17,4.41852819949047e-19,7.612216518274036e-21
0.48,9.225257408016706e-16,7.52560971220654e-17,2.134441255102219e-18,8.372082116248523e-20
0.64,8.664420929985807e-16,1.267921153243753e-16,6.317842007934657e-18,4.479496691098916e-19
0.8,7.993151343358601e-16,1.849002910672716e-16,1.417939755224367e-17,1.605177044625143e-18
0.96,7.242924729954747e-16,2.447318285771067e-16,2.653330687763848e-17,4.442391549780423e-18
1.12,6.446549934838118e-16,3.015470528508424e-16,4.35507506252636e-17,1.02472030400829e-17
1.28,5.635833746807936e-16,3.511633615669685e-16,6.463182311766775e-17,2.062144063457068e-17
1.44,4.839566252568463e-16,3.903057135791205e-16,8.844455011361694e-17,3.72931110504168e-17
1.6,4.081992000504308e-16,4.168262913755957e-16,1.131152120175177e-16,6.185929655645621e-17
1.76,3.38185742650785e-16,4.297809024796526e-16,1.365207596386143e-16,9.551259523094843e-17
1.92,2.752047275127273e-16,4.293701783311077e-16,1.566158708283138e-16,1.388092233278514e-16
2.08,2.199753047532543e-16,4.16770564076455e-16,1.717270879662273e-16,1.915270432040636e-16
2.24,1.727067869793661e-16,3.938905556704305e-16,1.807616324983411e-16,2.526410248518623e-16
2.4,1.331871511812258e-16,3.630921322972396e-16,1.833032251823604e-16,3.204174913391742e-16
2.56,1.008864152448478e-16,3.269148543815629e-16,1.79593891253475e-16,3.926048391201143e-16
2.72,7.506206307356214e-17,2.878330374148831e-16,1.704226210451413e-16,4.666822784664133e-16
2.88,5.485620333176752e-17,2.480664431050954e-16,1.569554103935056e-16,5.401219431696315e-16
3.04,3.937752669604798e-17,2.09454100439993e-16,1.40544674205886e-16,6.106236986580728e-16
3.2,2.776441806045169e-17,1.733911284225204e-16,1.225515392294889e-16,6.762929142875389e-16
3.36,1.922853273138928e-17,1.408208451976837e-16,1.04204596980895e-16,7.357460250900319e-16
3.52,1.308040341180933e-17,1.122696630159716e-16,8.650684133814524e-17,7.881430922340737e-16
3.68,8.740043377827391e-18,8.791047292935668e-17,7.019177893976409e-17,8.331577047530516e-16
3.84,5.736189442093768e-18,6.764055651732483e-17,5.572169628929709e-17,8.709015577512841e-16
4.,3.697863290537723e-18,5.116221343047273e-17,4.331661139212746e-17,9.018233118868619e-16
4.16,2.341508228339294e-18,3.805734739036711e-17,3.300131490945711e-17,9.26599829471836e-16
4.32,1.456323460771268e-18,2.785046100014954e-17,2.465914299595646e-17,9.460340725431222e-16
4.48,8.89687730527528e-19,2.005748098283119e-17,1.80838121201788e-17,9.60969019166462e-16
4.64,5.338690214895733e-19,1.422017579760337e-17,1.302378556560915e-17,9.722221696152972e-16
4.8,3.146655689190896e-19,9.927560722122393e-18,9.216509885695564e-18,9.805412638232622e-16
4.96,1.821718588185e-19,6.826598354515263e-18,6.41214292590882e-18,9.865790868607571e-16
5.12,1.03593065152143e-19,4.624841624700291e-18,4.387862437222942e-18,9.908837028729239e-16
5.28,5.786255454709501e-20,3.087581929441665e-18,2.954631160956182e-18,9.93899924355054e-16
5.44,3.174548610122003e-20,2.031701211978467e-18,1.958503008449844e-18,9.959780502934698e-16
5.6,1.710738953767597e-20,1.317965763373714e-18,1.278410130096808e-18,9.973865167169911e-16
5.76,9.055301983832522e-21,8.429999089292574e-19,8.220166020677266e-19,9.983259281870183e-16
5.92,4.708033693284621e-21,5.317401345256557e-19,5.208119688574761e-19,9.989427398629225e-16
6.08,2.404327463345522e-21,3.30813193928459e-19,3.252250156961751e-19,9.99341557462911e-16
6.24,1.206049419772876e-21,2.030179718431561e-19,2.00212037097527e-19,9.995955639416384e-16
6.4,5.942292491886959e-22,1.229151524841965e-19,1.215315935117289e-19,9.997549590247539e-16
6.56,2.875810360995787e-22,7.342452104213163e-20,7.27545538542998e-20,9.998535333440666e-16
6.72,1.367049317166394e-22,4.327948158610111e-20,4.296086812644948e-20,9.99913622945355e-16
6.88,6.383013572500753e-23,2.517467068206913e-20,2.502585656750837e-20,9.999497356426144e-16
7.04,2.927417225439938e-23,1.445165113648303e-20,1.438338508159577e-20,9.999711356896095e-16
7.2,1.31874527390842e-23,8.187857099994452e-21,8.15709929102545e-21,9.99983641856156e-16
7.36,5.835183501629408e-24,4.578736023707036e-21,4.565124624537385e-21,9.999908503041683e-16
7.52,2.536094672925321e-24,2.527340190870914e-21,2.521423861849727e-21,9.999949486998529e-16
7.68,1.082664017067064e-24,1.377024766602493e-21,1.374498913732015e-21,9.99997247393656e-16
7.84,4.539834726961648e-25,7.406184638394065e-22,7.395592739976347e-22,9.999985193682791e-16
8.,1.869836418463358e-25,3.932186691633947e-22,3.927824035488315e-22,9.999992138119437e-16
