time,case00240`S1,case00240`S2,case00240`S3
0,9.999999999999999e-7,1.999999999999999e-6,9.999999999999999e-7
0.16,1.087161742543593e-6,1.999999999999999e-6,9.128382574564069e-7
0.32,1.166725793258872e-6,1.999999999999999e-6,8.332742067411267e-7
0.48,1.239354425690656e-6,1.999999999999999e-6,7.60645574309343e-7
0.64,1.305652186320512e-6,1.999999999999999e-6,6.943478136794869e-7
0.8,1.366170919810658e-6,1.999999999999999e-6,6.338290801893412e-7
0.96,1.421414378536947e-6,1.999999999999999e-6,5.785856214630521e-7
1.12,1.471842385935285e-6,1.999999999999999e-6,5.281576140647133e-7
1.28,1.51787468857795e-6,1.999999999999999e-6,4.821253114220494e-7
1.44,1.559894466007782e-6,1.999999999999999e-6,4.401055339922163e-7
1.6,1.59825148094618e-6,1.999999999999999e-6,4.017485190538186e-7
1.76,1.633265018244927e-6,1.999999999999999e-6,3.667349817550712e-7
1.92,1.665226455291788e-6,1.999999999999999e-6,3.347735447082097e-7
2.08,1.694401913224386e-6,1.999999999999999e-6,3.05598086775611e-7
2.24,1.721034212399469e-6,1.999999999999999e-6,2.789657876005281e-7
2.4,1.745345034254196e-6,1.999999999999999e-6,2.546549657458017e-7
2.56,1.767536738040769e-6,1.999999999999999e-6,2.324632619592286e-7
2.72,1.787794039825561e-6,1.999999999999999e-6,2.122059601744367e-7
2.88,1.80628555794562e-6,1.999999999999999e-6,1.937144420543771e-7
3.04,1.823165217464678e-6,1.999999999999999e-6,1.768347825353188e-7
3.2,1.838573508543259e-6,1.999999999999999e-6,1.614264914567377e-7
3.36,1.852638696210012e-6,1.999999999999999e-6,1.473613037899854e-7
3.52,1.865477854680943e-6,1.999999999999999e-6,1.345221453190546e-7
3.68,1.877197848237103e-6,1.999999999999999e-6,1.228021517628944e-7
3.84,1.887896246840061e-6,1.999999999999999e-6,1.121037531599359e-7
4.,1.897662081024673e-6,1.999999999999999e-6,1.023379189753242e-7
4.16,1.906576646828163e-6,1.999999999999999e-6,9.342335317183388e-8
4.32,1.914714157622149e-6,1.999999999999999e-6,8.528584237784797e-8
4.48,1.922142339622751e-6,1.999999999999999e-6,7.785766037724677e-8
4.64,1.928923018706558e-6,1.999999999999999e-6,7.107698129343945e-8
4.8,1.935112641710945e-6,1.999999999999999e-6,6.488735828905261e-8
4.96,1.940762734293717e-6,1.999999999999999e-6,5.923726570627961e-8
5.12,1.945920321459568e-6,1.999999999999999e-6,5.407967854042944e-8
5.28,1.950628329344769e-6,1.999999999999999e-6,4.937167065522816e-8
5.44,1.95492594992637e-6,1.999999999999999e-6,4.507405007362781e-8
5.6,1.958848956683742e-6,1.999999999999999e-6,4.115104331625512e-8
5.76,1.962430005045954e-6,1.999999999999999e-6,3.756999495404322e-8
5.92,1.965698903020357e-6,1.999999999999999e-6,3.430109697964008e-8
6.08,1.968682858863827e-6,1.999999999999999e-6,3.13171411361699e-8
6.24,1.971406709570729e-6,1.999999999999999e-6,2.859329042926847e-8
6.4,1.973893127629577e-6,1.999999999999999e-6,2.610687237041982e-8
6.56,1.976162809576581e-6,1.999999999999999e-6,2.383719042341632e-8
6.72,1.978234648135244e-6,1.999999999999999e-6,2.176535186475291e-8
6.88,1.980125889369546e-6,1.999999999999999e-6,1.987411063045096e-8
7.04,1.981852276113885e-6,1.999999999999999e-6,1.814772388611225e-8
7.2,1.983428178241189e-6,1.999999999999999e-6,1.657182175880898e-8
7.36,1.984866712579742e-6,1.999999999999999e-6,1.513328742025554e-8
7.52,1.9861798528552e-6,1.999999999999999e-6,1.382014714479702e-8
7.68,1.987378529290861e-6,1.999999999999999e-6,1.262147070913707e-8
7.84,1.988472719087414e-6,1.999999999999999e-6,1.152728091258349e-8
8.,1.989471531172119e-6,1.999999999999999e-6,1.052846882787887e-8
