time,S1,S2
0,1.,3.6501022398732835E-41
0.06,0.964348608795023,0.03565139120497722
0.12,0.9296477091900937,0.07035229080990664
0.18,0.8959060083549581,0.10409399164504222
0.24,0.8631316068990708,0.13686839310092958
0.3,0.8313319108541976,0.16866808914580275
0.36,0.8005135388570855,0.1994864611429146
0.42,0.7706822227470257,0.2293177772529746
0.48,0.7418427037556253,0.25815729624437495
0.54,0.713998624543775,0.28600137545622517
0.6,0.6871524180362265,0.31284758196377366
0.6599999999999999,0.6613051942534319,0.33869480574656835
0.72,0.6364566275739599,0.36354337242604035
0.78,0.6126048440578747,0.3873951559421255
0.84,0.5897463146473201,0.4102536853526801
0.8999999999999999,0.5678757521956528,0.43212424780434744
0.96,0.5469860213385369,0.45301397866146326
1.02,0.5270680557578994,0.4729319442421007
1.08,0.5081107943810743,0.4918892056189258
1.14,0.4901011348619569,0.5098988651380432
1.2,0.4730239089968301,0.5269760910031699
1.26,0.4568618761030188,0.5431381238969811
1.3199999999999998,0.44159575545525453,0.5584042445447456
1.38,0.4272042740844636,0.5727957259155366
1.44,0.4136642504034385,0.5863357495965618
1.5,0.4009507033012669,0.5990492966987333
1.56,0.3890369931828729,0.6109630068171272
1.6199999999999999,0.3778949878296047,0.6221050121703955
1.68,0.3674952488207335,0.6325047511792667
1.74,0.3578072428672814,0.6421927571327187
1.7999999999999998,0.3487995636155118,0.6512004363844884
1.8599999999999999,0.3404401679298516,0.6595598320701487
1.92,0.332696612100333,0.6673033878996671
1.98,0.3255362916406073,0.674463708359393
2.04,0.31892667297897376,0.6810733270210264
2.1,0.31283551405600724,0.687164485943993
2.16,0.30723106855194804,0.6927689314480522
2.2199999999999998,0.3020822759830355,0.6979177240169647
2.28,0.2973589261357289,0.7026410738642714
2.34,0.29303179836484433,0.706968201635156
2.4,0.28907278199706626,0.710927218002934
2.46,0.2854549740834345,0.7145450259165657
2.52,0.2821527445170818,0.7178472554829184
2.58,0.27914178344283336,0.7208582165571668
2.6399999999999997,0.2763991373421029,0.7236008626578971
2.6999999999999997,0.2739032101280822,0.7260967898719177
2.76,0.2716337599088655,0.7283662400911345
2.82,0.26957187744312694,0.7304281225568732
2.88,0.26769995356526466,0.7323000464347355
2.94,0.2660016382279243,0.7339983617720758
3.,0.2644617871639212,0.7355382128360789
