time,S1,S2
0,1.,3.13890856008759E-42
0.011,0.9928816641024217,0.0071183358975781385
0.022,0.9856508360161574,0.014349163983842502
0.033,0.9783046376208664,0.02169536237913355
0.044,0.9708400628805522,0.029159937119447785
0.05499999999999999,0.9632539691869039,0.036746030813096124
0.066,0.9555430684892695,0.04445693151073049
0.077,0.9477039166923101,0.05229608330768983
0.088,0.9397329030299614,0.06026709697003865
0.09899999999999999,0.931626238178652,0.0683737618213482
0.10999999999999999,0.9233799403938021,0.07662005960619794
0.121,0.9149898214939941,0.08501017850600595
0.132,0.9064514712830216,0.09354852871697848
0.143,0.897760239835645,0.10223976016435507
0.154,0.8889112172558378,0.11108878274416226
0.16499999999999998,0.8798992130039903,0.12010078699600973
0.176,0.8707187326165112,0.12928126738348877
0.187,0.8613639501542617,0.13863604984573832
0.19799999999999998,0.8518286794160623,0.1481713205839377
0.209,0.8421063404715919,0.15789365952840798
0.21999999999999997,0.8321899226571849,0.16781007734281492
0.23099999999999998,0.822071942953636,0.17792805704636386
0.242,0.8117443989177503,0.18825560108224948
0.253,0.8011987153665556,0.1988012846334441
0.264,0.7904256837717545,0.2095743162282452
0.27499999999999997,0.7794153931052167,0.22058460689478301
0.286,0.7681571506106367,0.23184284938936303
0.297,0.7566393906439063,0.2433606093560935
0.308,0.7448495693055656,0.2551504306944342
0.319,0.7327740420563277,0.26722595794367227
0.32999999999999996,0.7203979206155023,0.2796020793844976
0.34099999999999997,0.7077049047324431,0.29229509526755676
0.352,0.6946770828867908,0.30532291711320914
0.363,0.6812947001494152,0.31870529985058477
0.374,0.667535871357072,0.33246412864292785
0.38499999999999995,0.6533762489798896,0.34662375102011034
0.39599999999999996,0.6387885908450216,0.3612114091549784
0.407,0.6237422698585162,0.3762577301414837
0.418,0.6082026407220998,0.39179735927790005
0.429,0.5921302350227593,0.4078697649772405
0.43999999999999995,0.5754797695062768,0.424520230493723
0.45099999999999996,0.5581988614245154,0.4418011385754844
0.46199999999999997,0.5402263268384521,0.45977367316154766
0.473,0.5214899568309416,0.47851004316905815
0.484,0.501903480743861,0.4980965192561387
0.495,0.4813623809426256,0.5186376190573742
0.506,0.4597379189968094,0.5402620810031904
0.517,0.4368684094930825,0.5631315905069173
0.528,0.41254596932419774,0.5874540306758022
0.5389999999999999,0.386495453194522,0.6135045468054778
0.5499999999999999,0.3583391644224367,0.641660835577563
