time,case00502`S1,case00502`S2,case00502`S3
0,2.5e-16,2.e-15,1.e-15
0.2,2.5e-16,2.048770575508145e-15,9.512294244918528e-16
0.4,2.5e-16,2.095162581970415e-15,9.048374180295832e-16
0.6,2.5e-16,2.13929202391582e-15,8.607079760841788e-16
0.8,2.5e-16,2.181269246932797e-15,8.187307530672022e-16
1.,2.5e-16,2.221199218595839e-15,7.788007814041597e-16
1.2,2.5e-16,2.259181780660598e-15,7.408182193394012e-16
1.4,2.5e-16,2.295311911551877e-15,7.046880884481222e-16
1.6,2.5e-16,2.329679955406072e-15,6.703200445939274e-16
1.8,2.5e-16,2.362371849305044e-15,6.376281506949541e-16
2.,2.5e-16,2.393469341782516e-15,6.065306582174829e-16
2.2,2.5e-16,2.423050196396659e-15,5.769498036033395e-16
2.4,2.5e-16,2.451188372110741e-15,5.488116278892563e-16
2.6,2.5e-16,2.477954232419005e-15,5.220457675809928e-16
2.8,2.5e-16,2.503414705858808e-15,4.965852941411901e-16
3.,2.5e-16,2.527633456873734e-15,4.723665431262636e-16
3.2,2.5e-16,2.550671044996506e-15,4.493289550034919e-16
3.4,2.5e-16,2.572585076269434e-15,4.274149237305638e-16
3.6,2.5e-16,2.593430347281055e-15,4.065696527189429e-16
3.8,2.5e-16,2.613258982178934e-15,3.867410178210646e-16
4.,2.5e-16,2.632120578370572e-15,3.67879421629426e-16
4.2,2.5e-16,2.65006233059649e-15,3.499376694035087e-16
4.4,2.5e-16,2.667128916312964e-15,3.328710836870345e-16
4.6,2.5e-16,2.683363230636708e-15,3.1663676936329e-16
4.8,2.5e-16,2.698805788204118e-15,3.011942117958798e-16
5.,2.5e-16,2.713495203140888e-15,2.8650479685911e-16
5.2,2.5e-16,2.727468207068471e-15,2.72531792931527e-16
5.4,2.5e-16,2.740759740906909e-15,2.592402590930896e-16
5.6,2.5e-16,2.753403036530841e-15,2.465969634691572e-16
5.8,2.5e-16,2.76542971212289e-15,2.345702878771085e-16
6.,2.5e-16,2.776869841077261e-15,2.231301589227372e-16
6.2,2.5e-16,2.787752027222599e-15,2.12247972777399e-16
6.4,2.5e-16,2.798103482073455e-15,2.018965179265442e-16
6.6,2.5e-16,2.807950092733822e-15,1.920499072661771e-16
6.8,2.5e-16,2.817316475955178e-15,1.826835240448211e-16
7.,2.5e-16,2.826226057539865e-15,1.737739424601343e-16
7.2,2.5e-16,2.834701114669353e-15,1.652988853306458e-16
7.4,2.5e-16,2.842762837895572e-15,1.57237162104427e-16
7.6,2.5e-16,2.850431385091382e-15,1.495686149086172e-16
7.8,2.5e-16,2.857725931663301e-15,1.422740683366978e-16
8.,2.5e-16,2.864664718334874e-15,1.353352816651244e-16
8.2,2.5e-16,2.871265096617562e-15,1.287349033824364e-16
8.4,2.5e-16,2.877543572008183e-15,1.224564279918156e-16
8.6,2.5e-16,2.883515843713191e-15,1.16484156286807e-16
8.8,2.5e-16,2.889196849324798e-15,1.108031506752002e-16
9.,2.5e-16,2.894600778923674e-15,1.053992210763244e-16
9.2,2.5e-16,2.899741156916967e-15,1.002588430830321e-16
9.4,2.5e-16,2.904630843801083e-15,9.536915619891595e-17
9.6,2.5e-16,2.909282049515067e-15,9.071795048493154e-17
9.8,2.5e-16,2.913706414593426e-15,8.629358540657249e-17
10.,2.5e-16,2.917915001376237e-15,8.208499862376153e-17
